scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Heliotropium cupressinum,https://id.biodiversity.org.au/node/apni/2892851,dr15860,Western Australia,Australia,
Heliotropium cupressinum,https://id.biodiversity.org.au/node/apni/2892851,dr15863,Western Australia,Australia,
Heliotropium discorde,https://id.biodiversity.org.au/node/apni/2904678,dr15860,Western Australia,Australia,
Heliotropium discorde,https://id.biodiversity.org.au/node/apni/2904678,dr15865,Western Australia,Australia,
Heliotropium foveolatum,https://id.biodiversity.org.au/node/apni/2910247,dr15860,Western Australia,Australia,
Heliotropium foveolatum,https://id.biodiversity.org.au/node/apni/2910247,dr15863,Western Australia,Australia,
Heliotropium foveolatum,https://id.biodiversity.org.au/node/apni/2910247,dr15866,Western Australia,Australia,
Heliotropium galioides,https://id.biodiversity.org.au/node/apni/2912541,dr15863,Western Australia,Australia,
Heliotropium geocharis,https://id.biodiversity.org.au/node/apni/2907158,dr15863,Western Australia,Australia,
Heliotropium murinum,https://id.biodiversity.org.au/node/apni/2906632,dr15860,Western Australia,Australia,
Heliotropium murinum,https://id.biodiversity.org.au/node/apni/2906632,dr15863,Western Australia,Australia,
Heliotropium murinum,https://id.biodiversity.org.au/node/apni/2906632,dr376,Western Australia,Australia,
Heliotropium muticum,https://id.biodiversity.org.au/node/apni/2897566,dr15860,Western Australia,Australia,
Heliotropium muticum,https://id.biodiversity.org.au/node/apni/2897566,dr15863,Western Australia,Australia,
Heliotropium muticum,https://id.biodiversity.org.au/node/apni/2897566,dr15866,Western Australia,Australia,
Heliotropium nesopelydum,https://id.biodiversity.org.au/node/apni/2886050,dr15863,Western Australia,Australia,
Heliotropium parviantrum,https://id.biodiversity.org.au/node/apni/2909496,dr15863,Western Australia,Australia,
Heliotropium synaimon,https://id.biodiversity.org.au/node/apni/2917000,dr15863,Western Australia,Australia,
